Progressivo;Tipologia;codice;Centro Costo;Denominazione Immobile;Localizzazione immobile;Comune;Codice Meccanografico Principale;Scheda;;;;;;;
001;SCU;SCU_001;1.1.1;I.T.C.G. FERMI - LOCALITA IS ARRUASTAS;Via Giovanni Falcone 7;Iglesias;CAIS02700R;Foglio SCU_001;;;;;;;
002;SCU;SCU_002;1.1.2;IPIA FERRARIS - VIA CANEPA 17;Via Canepa 17;Iglesias;CARI02000L;Foglio SCU_002;;;;;;;
003;SCU;SCU_003;1.1.3;IPIA FERRARIS -SUCCURSALE VIA PACINOTTI;Via Pacinotti;Iglesias;CARI02000L;Foglio SCU_003;;;;;;;
004;SCU;SCU_004;1.1.4;IST. MAGISTRALE BAUDI DI VESME - LOCALITA FUNTANAMARZU;Via Monsignor Saba;Iglesias;CAPM04000N;Foglio SCU_004;;;;;;;
005;SCU;SCU_005;1.1.5;IST. MAGISTRALE BAUDI DI VESME - PALESTRA LOCALITA FUNTANAMARZU;Via Monsignor Saba;Iglesias;CAPM04000N;Foglio SCU_005;;;;;;;
006;SCU;SCU_006;1.1.6;LICEO ARTISTICO - PIAZZA COLLEGIO;Piazza Collegio;Iglesias;;Foglio SCU_006;CHIUSO;;;;;;
007;SCU;SCU_007;1.1.7;LICEO SCIENTIFICO ASPRONI - (Fabbr. 1) LOCALITA SU PARDU;Via Efisio Atzeni;Iglesias;CAIS01300V;Foglio SCU_007;;;;;;;
008;SCU;SCU_008;1.1.8;LICEO SCIENTIFICO ASPRONI - (Fabbr. 2) LOCALITA SU PARDU;Via Efisio Atzeni;Iglesias;CAIS01300V;Foglio SCU_008;;;;;;;
009;SCU;SCU_009;1.1.9;MINERARIO ASPRONI;Via Roma 45 ;Iglesias;CAIS02700R;Foglio SCU_009;;;;;;;
010;SCU;SCU_010;1.2.1;IST. ANGIOY - VIA COSTITUENTE;Via Costituente 50;Carbonia;CATD020007;Foglio SCU_010;;;;;;;
011;SCU;SCU_011;1.2.2;IST. GRAMSCI - AMALDI - VIA DELLE CERNITRICI;Via delle Cernitrici snc;Carbonia;CAIS00100L;Foglio SCU_011;;;;;;;
012;SCU;SCU_012;1.2.3;IST. GRAMSCI - AMALDI - SUCCURSALE;Via Brigata Sassari 35;Carbonia;CAIS00100L;Foglio SCU_012;;;;;;;
013;SCU;SCU_013;1.2.4;"IST. PROF.LE IPIA ""E. LOI""- VIA DALMAZIA";Via Dalmazia;Carbonia;CAIS011007;Foglio SCU_013;;;;;;;
014;SCU;SCU_014;1.2.5;ISTITUTO BECCARIA - VIA UMBRIA;Via Umbria;Carbonia;CAIS011007;Foglio SCU_014;;;;;;;
015;SCU;SCU_015;1.3.1;"IPIA ""EMANUELA LOI - VIA BOLZANO 37";Via Bolzano 37;Sant'Antioco;CAIS011007;Foglio SCU_015;;;;;;;
016;SCU;SCU_016;1.3.2;" IPIA ""EMANUELA LOI - VIA XXIV MAGGIO";Via XXIV maggio;Sant'Antioco;CAIS011007;Foglio SCU_016;;;;;;;
017;SCU;SCU_017;1.3.3;"IST. MAGISTRALE ""LUSSU""- VIA SALVO D'ACQUISTO 7";Via Salvo d'Acquisto 7;Sant'Antioco;CAPS06000T;Foglio SCU_017;;;;;;;
018;SCU;SCU_018;1.3.4;"LICEO SCIENTIFICO ""LUSSU"" - VIA BOLZANO 50";Via Bolzano 50;Sant'Antioco;CAPS06000T;Foglio SCU_018;;;;;;;
019;SCU;SCU_019;1.4.1;IST. AGRARIO BECCARIA - VIA CAGLIARI 47;Via Cagliari 47;Santadi;CAIS011007;Foglio SCU_019;;;;;;;
020;SCU;SCU_020;1.5.1;IST. AGRARIO BECCARIA - LOCALITA STAZIONE;Località stazione FS 1;Villamassargia;CAIS011007;Foglio SCU_020;;;;;;;
021;SCU;SCU_021;1.6.1;IST. NAUTICO - CORSO BATTELLIERI;Corso Battellieri;Carloforte;CAIS012003;Foglio SCU_021;;;;;;;
022;SCU;SCU_022;1.6.1;NAUTICO SUCCURSALE - VIALE OSSERVATORIO;Viale Osservatorio;Carloforte;CAIS012004;Foglio SCU_022;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
